iter	Passed	Remaining
0	84	84769
1	89	44731
2	97	32390
3	102	25474
4	106	21277
5	110	18259
6	113	16159
7	118	14720
8	123	13645
9	130	12873
10	133	12022
11	135	11184
12	139	10568
13	142	10049
14	145	9568
15	149	9175
16	152	8813
17	155	8493
18	159	8211
19	162	7945
20	163	7621
21	166	7403
22	169	7210
23	173	7043
24	176	6887
25	180	6748
26	183	6605
27	186	6475
28	189	6355
29	192	6235
30	195	6119
31	198	6008
32	201	5905
33	204	5819
34	207	5733
35	211	5659
36	214	5577
37	217	5504
38	220	5430
39	223	5360
40	226	5300
41	230	5248
42	233	5198
43	237	5153
44	240	5103
45	243	5057
46	247	5019
47	251	4981
48	254	4947
49	258	4907
50	261	4870
51	265	4845
52	269	4811
53	272	4780
54	276	4748
55	279	4715
56	283	4689
57	287	4662
58	290	4631
59	293	4602
60	295	4545
61	297	4505
62	301	4477
63	304	4456
64	308	4433
65	312	4419
66	315	4398
67	319	4375
68	322	4356
69	326	4335
70	329	4317
71	333	4299
72	337	4282
73	341	4276
74	345	4261
75	348	4233
76	351	4208
77	354	4192
78	358	4179
79	363	4182
80	366	4157
81	371	4153
82	374	4139
83	378	4125
84	382	4114
85	386	4105
86	389	4089
87	393	4072
88	396	4056
89	400	4044
90	403	4032
91	407	4024
92	411	4013
93	415	4004
94	419	3993
95	422	3980
96	426	3969
97	430	3961
98	434	3951
99	437	3938
100	441	3926
101	445	3918
102	448	3904
103	451	3891
104	455	3880
105	458	3870
106	462	3860
107	466	3849
108	469	3840
109	473	3834
110	477	3827
111	481	3814
112	484	3802
113	487	3789
114	490	3778
115	494	3766
116	497	3755
117	500	3743
118	503	3730
119	505	3707
120	508	3695
121	511	3684
122	515	3675
123	518	3664
124	522	3655
125	525	3645
126	528	3636
127	532	3625
128	535	3618
129	539	3608
130	542	3598
131	545	3589
132	549	3580
133	552	3571
134	556	3564
135	559	3556
136	563	3550
137	567	3544
138	571	3538
139	574	3530
140	578	3522
141	581	3513
142	584	3505
143	588	3498
144	591	3490
145	594	3477
146	597	3469
147	601	3460
148	604	3452
149	608	3445
150	612	3442
151	615	3435
152	619	3428
153	623	3423
154	626	3417
155	630	3409
156	632	3397
157	636	3390
158	639	3383
159	643	3377
160	646	3370
161	650	3363
162	653	3357
163	657	3350
164	659	3337
165	662	3330
166	666	3322
167	669	3316
168	673	3311
169	675	3298
170	678	3290
171	682	3283
172	685	3277
173	689	3272
174	692	3266
175	696	3260
176	699	3253
177	703	3247
178	704	3233
179	708	3226
180	711	3221
181	715	3215
182	718	3209
183	722	3203
184	725	3197
185	729	3194
186	733	3189
187	737	3185
188	741	3181
189	744	3175
190	748	3170
191	752	3165
192	755	3158
